DAQ Input,Location x,Location y,Location z
4W-4_13,49.8,95.7,5
4W-4_14,50.5,97.3,5
4W-4_15,53.5,52.8,5
4W-4_16,54.1,51.3,5
4W-5_01,54.6,53,5
4W-5_02,99.7,68.9,5
4W-5_03,100.3,67.6,5
4W-5_04,100.9,69.1,5
4W-5_05,74.3,68.9,5
4W-5_06,75,67.5,5
4W-5_07,75.6,68.9,5
4E-2_16,198.1,102.8,5
4E-3_01,198.8,101.2,5
4E-3_02,199.4,102.9,5
4E-3_03,150.8,102.7,5
4E-3_04,151.4,101.4,5
4E-3_05,152,102.8,5
4E-3_06,158.6,88.2,5
4E-3_07,160.9,90.3,5
4E-3_08,194,88.4,5
4E-3_09,196.3,90.7,5
